,name,distance,mass,discovery_date,planet_type,planet_radius_in_unit,mass_of_hoststar.1,goldilock,gravity
105,CoRoT-9 b,1363.0,0.84 Jupiters,2009,Gas Giant,1.066,0.96,True,234.9341227573049
106,CoRoTID 223977153 b,1912.0,0.15 Jupiters,2017,Gas Giant,0.57,0.79,False,146.73130193905817
107,CT Chamaleontis b,538.0,17 Jupiters,2007,Gas Giant,2.2,,False,1116.3099173553717
108,DE Canun Venaticorum b,100.0,12.0293 Jupiters,2018,Gas Giant,,,False,
109,DENIS-P J082303.1-491201 b,68.0,28.5 Jupiters,2013,Gas Giant,,,False,
110,DH Tauri b,457.0,11 Jupiters,2004,Gas Giant,,0.27,False,
111,DMPP-1 b,202.0,24.27 Earths,2019,Neptune-like,,1.26,False,
112,DMPP-1 c,202.0,9.6 Earths,2019,Neptune-like,,1.26,False,
113,DMPP-1 d,202.0,3.35 Earths,2019,Super Earth,,1.26,False,
114,DMPP-1 e,202.0,4.13 Earths,2019,Super Earth,,1.26,False,
115,DMPP-2 b,437.0,0.437 Jupiters,2019,Gas Giant,,1.78,False,
116,DMPP-3 A b,160.0,2.58 Earths,2019,Super Earth,,0.91,False,
117,DP Leonis b,995.0,6.28 Jupiters,2009,Gas Giant,,0.01,False,
118,DS Tucanae A b,144.0,1.3 Jupiters,2019,Neptune-like,0.509,0.96,False,1594.736781161104
119,EPIC 201238110 b,522.0,4.16 Earths,2019,Super Earth,0.167,,False,149.1627523396321
120,EPIC 201497682 b,831.0,0.26 Earths,2019,Terrestrial,0.062,,False,67.6378772112383
121,EPIC 201615463 c,1569.0,1.98 Earths,2019,Super Earth,0.109,,False,166.6526386667789
122,EPIC 201754305 d,1103.0,1.08 Earths,2019,Super Earth,0.092,,False,127.59924385633272
123,EPIC 201833600 c,846.0,0.972 Earths,2019,Terrestrial,0.089,,False,122.7117788158061
124,EPIC 201841433 b,1442.0,1.37 Earths,2019,Super Earth,0.098,,False,142.64889629321115
125,EPIC 205950854 c,801.0,2.27 Earths,2019,Super Earth,0.117,0.83,False,165.82657608298632
126,EPIC 206024342 b,1219.0,3.53 Earths,2019,Super Earth,0.152,,False,152.78739612188366
127,EPIC 206032309 b,529.0,1.01 Earths,2019,Super Earth,0.09,,False,124.69135802469135
128,EPIC 206042996 b,1492.0,3.26 Earths,2019,Super Earth,0.145,,False,155.05350772889415
129,EPIC 206215704 b,360.0,0.666 Earths,2019,Terrestrial,0.08,,False,104.0625
130,EPIC 206317286 b,1035.0,0.84 Earths,2019,Terrestrial,0.086,,False,113.57490535424554
131,EPIC 211822797 b,611.0,4.58 Earths,2016,Super Earth,0.177,0.57,False,146.1904305914648
132,EPIC 211945201 b,596.0,27 Earths,2018,Neptune-like,0.514,1.39,False,102.19685385092886
133,EPIC 212297394 b,1381.0,2.31 Earths,2019,Super Earth,0.118,,False,165.90060327492102
134,EPIC 212424622 b,2031.0,5.35 Earths,2019,Neptune-like,0.194,,False,142.15113189499414
135,EPIC 212499991 b,932.0,3.19 Earths,2019,Super Earth,0.143,,False,155.99784830554066
136,EPIC 212587672 b,1053.0,1.46 Earths,2019,Super Earth,0.1,,False,145.99999999999997
137,EPIC 212737443 b,1133.0,7.2 Earths,2019,Neptune-like,0.231,0.67,False,134.9300050598752
138,EPIC 212737443 c,1133.0,7.7 Earths,2019,Neptune-like,0.24,0.67,False,133.68055555555557
139,EPIC 220554210 c,1638.0,2.79 Earths,2019,Super Earth,0.132,,False,160.12396694214874
140,EPIC 220674823 b,803.0,7.72 Earths,2016,Super Earth,0.162,0.98,False,294.1624752324341
141,EPIC 220674823 c,803.0,5.8 Earths,2016,Neptune-like,0.244,0.98,False,97.420048374093
142,EPIC 246851721 b,1098.0,3 Jupiters,2018,Gas Giant,1.051,1.59,False,863.1714075942355
143,EPIC 248847494 b,1827.0,13 Jupiters,2018,Gas Giant,1.11,2.7,False,3353.347942537131
